                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6791,                 3.2819,                 1.1553,                0.08574,                0.63311,                0.08158,                 0.0539,                 1.1766,                 23.775,                 1.0429,              0.0002625,              0.0002625,              0.0002625
                      2,                 1.1306,                 1.4309,                0.97097,                0.23469,                0.71083,                0.22528,                0.16262,                 1.0031,                    inf,                0.94806,             0.00053573,             0.00053573,             0.00053573
                      3,                 1.0736,                 1.0487,                0.93907,                0.72202,                0.75561,                0.81768,                 0.6003,                0.93965,                 1.6233,                0.93781,             0.00080714,             0.00080714,             0.00080714
                      4,                 1.0617,                0.88782,                 0.9357,                0.59897,                 0.7758,                0.78067,                0.53637,                 1.0277,                 1.9363,                0.93589,              0.0010767,              0.0010767,              0.0010767
                      5,                 1.0583,                0.83786,                  0.935,                0.81856,                 0.8471,                 0.8939,                 0.6781,                0.91275,                 1.2486,                0.92616,              0.0012335,              0.0012335,              0.0012335
                      6,                 1.0053,                0.75095,                0.92106,                0.70432,                0.83614,                0.87544,                0.67325,                0.81757,                  1.104,                0.89271,              0.0012335,              0.0012335,              0.0012335
                      7,                0.99433,                0.68653,                0.90146,                0.82069,                0.89377,                0.90996,                0.68441,                0.88546,                0.82249,                0.91669,              0.0012294,              0.0012294,              0.0012294
                      8,                 1.0304,                0.73428,                0.91736,                 0.8955,                 0.8457,                0.91762,                0.70359,                0.89535,                0.92542,                0.89713,              0.0012252,              0.0012252,              0.0012252
                      9,                0.97255,                0.66355,                0.90497,                0.85917,                0.83737,                0.90146,                0.68165,                0.88717,                0.74482,                0.91611,              0.0012211,              0.0012211,              0.0012211
                     10,                 0.9451,                0.60237,                0.90862,                0.87502,                0.89126,                0.92255,                0.71221,                0.85959,                 0.6736,                0.89197,               0.001217,               0.001217,               0.001217
                     11,                0.95225,                0.62347,                0.90518,                0.81439,                0.91806,                  0.908,                0.65504,                 1.0503,                0.79737,                0.92232,              0.0012129,              0.0012129,              0.0012129
