                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8311,                 2.7874,                 3.4871,                 1.5971,                 0.0476,                 0.4984,                0.06516,                0.03092,                0.00412,                0.13765,                0.00679,                0.00198,                 1.4027,                 1.3823,                 3.5403,                 1.5499,             0.00031108,             0.00031108,             0.00031108
                      2,                 1.4977,                 1.4837,                 2.5457,                  1.349,                0.12018,                0.25078,                0.13066,                 0.0837,                0.09659,                0.06779,                0.06531,                0.02373,                 1.2145,                0.89059,                 2.7991,                 1.3217,               0.000627,               0.000627,               0.000627
                      3,                 1.3781,                 1.2711,                  2.019,                 1.2944,                0.21269,                0.45015,                0.25447,                 0.1596,                0.15332,                0.29351,                0.15905,                0.07161,                 1.2645,                0.89028,                  2.492,                 1.4316,             0.00093654,             0.00093654,             0.00093654
                      4,                  1.323,                 1.1917,                 1.8239,                 1.2817,                0.31942,                 0.4255,                0.31205,                0.21153,                0.26473,                0.29807,                0.17305,                0.06567,                 1.2263,                0.72662,                 2.3059,                 1.5911,               0.001078,               0.001078,               0.001078
                      5,                 1.2481,                 1.1112,                  1.663,                 1.2366,                0.36855,                0.43229,                0.37736,                0.25925,                0.35289,                0.34174,                0.29345,                 0.1277,                 1.1579,                0.66453,                 2.1017,                 1.3242,               0.001078,               0.001078,               0.001078
                      6,                 1.1898,                 1.0651,                 1.5327,                 1.1941,                0.35881,                0.54853,                0.41979,                 0.3064,                0.28417,                0.42148,                0.30468,                0.15815,                 1.0416,                0.58723,                 1.9601,                 1.2208,               0.001067,               0.001067,               0.001067
                      7,                 1.1337,                 1.0118,                 1.3969,                 1.1866,                0.49316,                0.57849,                0.55745,                0.42559,                0.41343,                 0.4981,                0.42843,                0.21577,                0.99655,                0.53311,                  1.623,                 1.2131,               0.001056,               0.001056,               0.001056
                      8,                 1.1274,                 1.0482,                 1.2809,                 1.1691,                0.71024,                0.68423,                0.74203,                0.53861,                0.60974,                0.56932,                0.56468,                0.23185,                0.97028,                0.67536,                 1.1724,                 1.2103,               0.001045,               0.001045,               0.001045
                      9,                 1.0846,                 1.0294,                 1.1742,                 1.1495,                0.70059,                0.73127,                0.75919,                0.56396,                0.65987,                0.55367,                0.58402,                 0.2774,                0.90384,                0.61152,                 1.1265,                 1.1334,               0.001034,               0.001034,               0.001034
                     10,                 1.0567,                0.98351,                 1.1151,                 1.1401,                0.74859,                0.75507,                0.78262,                0.58651,                0.64132,                   0.64,                0.61618,                0.24145,                0.94322,                0.71604,                 1.1039,                 1.1347,               0.001023,               0.001023,               0.001023
                     11,                   1.05,                0.94984,                 1.0589,                 1.1302,                0.77444,                0.77353,                0.79044,                 0.6019,                0.68474,                0.65219,                0.62464,                0.32318,                 0.9086,                 0.5341,                 1.0351,                 1.1268,               0.001012,               0.001012,               0.001012
                     12,                 1.0198,                0.93543,                 1.0621,                 1.1088,                0.75875,                0.78212,                 0.8096,                0.60177,                0.75867,                0.64624,                0.68775,                 0.3552,                0.89781,                0.51055,                  1.058,                 1.1338,               0.001001,               0.001001,               0.001001
