                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5091,                 2.3485,                 2.5674,                  1.529,                0.31446,                0.33687,                0.25848,                0.18287,                0.21478,                0.16099,                0.14646,                0.04159,                0.96423,                 1.1466,                    inf,                 1.2599,             0.00031108,             0.00031108,             0.00031108
                      2,                 1.0792,                 1.0246,                 1.2137,                 1.1855,                0.31997,                0.63189,                0.40542,                0.27056,                0.20941,                 0.4159,                0.19466,                0.06489,                0.97166,                 1.2029,                 7.1406,                 1.3337,               0.000627,               0.000627,               0.000627
                      3,                 1.0276,                0.95283,                  1.047,                 1.1713,                 0.2075,                 0.2877,                0.07868,                0.05381,                0.19793,                0.20888,                0.06484,                0.02447,                 1.2844,                  1.375,                    inf,                 1.9812,             0.00093654,             0.00093654,             0.00093654
                      4,                 1.0921,                 1.0202,                 1.0951,                 1.2148,                0.31865,                  0.591,                0.36855,                0.24083,                0.24213,                0.44335,                0.22786,                0.08708,                0.93446,                0.87401,                 5.0552,                 1.4521,               0.001078,               0.001078,               0.001078
                      5,                 1.0098,                0.88186,                 1.0294,                 1.1706,                0.45776,                0.57775,                0.53715,                0.39629,                0.39242,                0.50261,                0.41422,                0.15884,                0.97388,                0.92362,                 4.2538,                 1.3418,               0.001078,               0.001078,               0.001078
                      6,                0.96211,                0.87748,                0.89702,                 1.1616,                 0.6882,                0.74737,                0.73162,                0.55718,                0.62532,                0.67658,                0.61711,                0.29578,                0.80945,                0.59153,                 1.0775,                 1.2253,               0.001067,               0.001067,               0.001067
                      7,                0.94273,                0.82185,                0.87538,                 1.1304,                0.63145,                0.69362,                0.71348,                0.54769,                0.55997,                0.62085,                0.56627,                0.30082,                0.85572,                0.51243,                 1.1138,                 1.2441,               0.001056,               0.001056,               0.001056
                      8,                0.95786,                0.83681,                0.85929,                   1.14,                 0.7849,                0.77998,                0.78854,                0.57676,                0.69148,                0.70633,                0.65222,                 0.2923,                0.86551,                0.69839,                0.97813,                 1.2338,               0.001045,               0.001045,               0.001045
                      9,                0.91597,                0.79511,                0.80567,                 1.1147,                0.87749,                0.81226,                0.86554,                0.69355,                0.81206,                0.74797,                0.77684,                0.40736,                0.75344,                0.50597,                0.72626,                 1.0849,               0.001034,               0.001034,               0.001034
                     10,                0.86809,                0.75719,                0.75338,                  1.097,                0.84167,                0.82092,                0.85484,                0.68013,                 0.7587,                 0.7374,                0.72083,                0.32761,                 0.7001,                0.73235,                0.75208,                 1.0575,               0.001023,               0.001023,               0.001023
