                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0175,                 3.9963,                 2.9529,                 1.8223,                0.38687,                0.25243,                0.20784,                0.08913,                0.03088,                0.02857,                0.00244,                 0.0008,                 1.5115,                 1.3243,                 2.9906,                 1.8119,                 0.0003,                 0.0003,                 0.0003
                      2,                 1.3827,                 1.6176,                  1.701,                 1.2979,                 0.5745,                0.37143,                0.47458,                0.27474,                0.16822,                 0.1329,                0.05583,                0.01389,                 1.1494,                 1.2313,                 2.4338,                 1.3894,             0.00061386,             0.00061386,             0.00061386
                      3,                 1.3547,                 1.3534,                 1.4304,                 1.2762,                0.47958,                0.37143,                0.43388,                  0.285,                0.34446,                0.07619,                0.04366,                0.01048,                 1.2569,                 1.0792,                 2.2654,                 1.5393,             0.00092139,             0.00092139,             0.00092139
                      4,                 1.2871,                  1.175,                 1.3742,                 1.2724,                0.62365,                0.38095,                0.48359,                0.31352,                0.22249,                0.14286,                0.07132,                0.01571,                 1.2555,                 1.0899,                 1.9569,                 1.4169,              0.0012226,              0.0012226,              0.0012226
                      5,                 1.2937,                 1.1833,                 1.3558,                 1.2516,                0.67944,                0.44413,                 0.5665,                0.37897,                0.49753,                0.32381,                0.32089,                0.10655,                 1.2443,                0.88305,                 1.7917,                 1.3662,              0.0015174,              0.0015174,              0.0015174
                      6,                 1.3014,                 1.1602,                 1.2658,                 1.2555,                0.43598,                0.64049,                0.52354,                0.35436,                0.31623,                0.38321,                0.24975,                0.09484,                 1.2677,                0.79255,                 1.9894,                 1.4499,               0.001806,               0.001806,               0.001806
                      7,                 1.2875,                 1.1397,                 1.2225,                 1.2438,                0.61808,                0.64762,                0.60285,                0.37073,                0.34933,                    0.4,                0.19296,                0.06757,                 1.1625,                0.71535,                 1.6566,                 1.4374,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.2527,                 1.1284,                 1.1896,                  1.234,                 0.6514,                0.60952,                0.60463,                0.41985,                0.53206,                0.44402,                0.36287,                0.15341,                 1.1343,                0.61409,                 2.3914,                 1.3004,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.2019,                  1.061,                 1.1155,                 1.2029,                0.71804,                0.65714,                0.65956,                0.49115,                0.56289,                0.57143,                0.44403,                0.20412,                 1.0508,                0.56544,                 1.7919,                 1.3606,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.1646,                 1.0637,                 1.0928,                 1.1984,                0.77116,                0.55238,                0.62629,                0.46865,                0.82739,                 0.4381,                0.45675,                0.18353,                 1.0709,                0.60965,                 1.9682,                 1.2147,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.1622,                 1.0143,                  1.062,                 1.1873,                0.77875,                 0.6381,                0.71726,                0.52909,                0.78103,                0.49524,                0.54438,                0.26437,                 1.0666,                0.58409,                 1.3741,                 1.2352,              0.0018218,              0.0018218,              0.0018218
