                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9524,                 3.2732,                  3.021,                 1.6291,                0.35652,                0.14414,                0.18092,                0.10185,                0.25093,                 0.0991,                0.07758,                0.01854,                  1.295,                 1.6206,                 3.0901,                 1.2805,                0.00032,                0.00032,                0.00032
                      2,                 1.2595,                 1.4334,                 1.4846,                 1.0848,                0.67971,                0.27027,                0.33962,                0.23933,                0.62448,                0.23423,                0.28297,                0.11978,                 1.1388,                0.96749,                 2.6563,                 1.1582,             0.00065347,             0.00065347,             0.00065347
                      3,                 1.2044,                 1.1862,                 1.2908,                 1.0647,                0.77488,                0.33333,                0.44439,                0.30742,                0.90381,                0.33865,                0.44625,                0.22454,                 1.2586,                 0.8387,                 2.3857,                 1.1458,              0.0009802,              0.0009802,              0.0009802
                      4,                 1.1959,                 1.1296,                 1.1564,                 1.0512,                0.70182,                0.30631,                0.37188,                0.26991,                0.64492,                0.27928,                0.33867,                0.15845,                 1.2844,                 1.0275,                 2.3724,                 1.1733,              0.0013002,              0.0013002,              0.0013002
                      5,                 1.1553,                 1.1216,                 1.1091,                 1.0562,                0.41693,                0.48649,                0.46212,                0.33889,                0.37832,                0.44144,                0.41511,                0.18304,                 1.3113,                0.93787,                 1.8723,                 1.2068,              0.0016135,              0.0016135,              0.0016135
                      6,                 1.1379,                 1.0534,                 1.0697,                 1.0584,                0.64696,                 0.7099,                0.71204,                0.52166,                0.63875,                0.70089,                0.69238,                0.34287,                 1.2095,                0.69835,                 1.3586,                 1.2008,               0.001901,               0.001901,               0.001901
                      7,                 1.1223,                 1.0152,                 1.0458,                 1.0425,                0.79204,                0.75487,                0.81823,                0.60313,                0.78813,                0.72072,                0.73448,                0.36171,                 1.0962,                0.80185,                   1.32,                 1.0687,               0.001901,               0.001901,               0.001901
                      8,                 1.1546,                 1.0248,                 1.0017,                 1.0454,                0.71707,                0.79918,                0.78466,                0.58987,                0.70054,                0.77979,                 0.7393,                 0.3975,                 1.0426,                 0.6589,                 1.1342,                 1.1026,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.0695,                0.96127,                0.94522,                 1.0268,                0.72607,                0.79279,                0.79274,                0.58746,                0.72607,                0.79279,                0.76681,                0.34096,                0.98434,                0.69274,                 1.0582,                 1.0683,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.0556,                0.98137,                0.90412,                 1.0173,                0.85988,                0.77477,                  0.888,                0.67041,                0.87173,                0.79594,                0.86685,                0.46783,                0.96879,                 0.5825,                0.91965,                 1.0529,              0.0018416,              0.0018416,              0.0018416
