                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1387,                 3.6524,                 3.1819,                 1.7923,                0.00578,                0.71233,                0.06176,                0.03134,                  0.002,                0.24658,                0.01483,                0.00529,                 1.6019,                 2.9209,                 3.5234,                 1.6996,                0.00026,                0.00026,                0.00026
                      2,                  1.497,                 1.4536,                 2.0687,                 1.3287,                0.25777,                0.29023,                0.16497,                0.08241,                0.06513,                 0.0274,                0.00892,                0.00151,                 1.5518,                 1.6753,                 3.1231,                 1.8903,             0.00053465,             0.00053465,             0.00053465
                      3,                 1.4613,                 1.3872,                 1.6413,                 1.2821,                0.41587,                0.26027,                 0.2783,                0.13106,                0.14236,                0.15068,                 0.0495,                0.01028,                 1.3868,                 1.3382,                 2.8435,                 1.5823,             0.00080376,             0.00080376,             0.00080376
                      4,                 1.3849,                 1.2493,                 1.6346,                 1.3045,                0.44755,                0.26027,                0.27386,                0.13949,                 0.4711,                0.27397,                0.29046,                0.08373,                 1.4218,                 1.3259,                 2.7823,                 1.6496,              0.0010673,              0.0010673,              0.0010673
                      5,                 1.3695,                 1.1698,                 1.5113,                 1.2549,                 0.3666,                0.36986,                0.30542,                0.15913,                 0.1455,                0.36986,                0.10918,                0.03316,                 1.4163,                 1.3449,                 2.2989,                 1.7794,              0.0013254,              0.0013254,              0.0013254
                      6,                 1.3318,                 1.1745,                  1.401,                 1.2299,                0.33094,                0.31507,                0.30369,                0.12808,                0.15511,                0.06849,                0.07019,                 0.0124,                 1.5302,                  1.624,                 2.6322,                  1.859,              0.0015778,              0.0015778,              0.0015778
                      7,                 1.3231,                 1.1882,                 1.3649,                 1.2043,                0.42958,                0.45205,                0.37813,                0.17128,                0.40733,                0.32877,                0.30522,                0.09842,                  1.475,                 0.8673,                 2.3566,                 1.6791,              0.0018248,              0.0018248,              0.0018248
                      8,                 1.3643,                 1.0424,                 1.3689,                 1.2651,                0.28708,                0.50685,                0.37382,                0.19062,                  0.607,                0.32877,                0.42694,                0.14551,                 1.4792,                0.77728,                 2.5242,                 1.7799,              0.0018614,              0.0018614,              0.0018614
                      9,                  1.394,                 1.1111,                 1.3389,                 1.2529,                0.35949,                0.45205,                0.29744,                0.17127,                0.37166,                0.41326,                0.30495,                0.12765,                 1.5257,                 0.8516,                 2.6797,                 1.6403,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.3133,                 1.0882,                 1.2755,                 1.2285,                0.60032,                0.41096,                0.51776,                0.30566,                0.50809,                0.35616,                0.37419,                 0.1136,                 1.4172,                0.98829,                 2.0424,                 1.4954,              0.0018416,              0.0018416,              0.0018416
