                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8412,                 2.8729,                 2.6491,                 1.6594,                0.53702,                0.17391,                0.24727,                0.12565,                0.33987,                 0.1087,                0.08067,                0.02024,                 1.4213,                 1.3539,                 2.9332,                 1.6649,                0.00042,                0.00042,                0.00042
                      2,                 1.2922,                  1.139,                 1.6026,                  1.254,                0.45606,                0.31522,                0.29408,                0.17882,                0.32176,                0.20652,                0.14147,                0.03495,                  1.373,                0.98183,                 2.7891,                 1.5712,             0.00085149,             0.00085149,             0.00085149
                      3,                 1.2917,                 1.0682,                 1.4209,                 1.2325,                 0.4481,                0.23913,                0.26291,                0.17619,                0.57683,                0.21739,                0.26774,                0.10445,                 1.5818,                0.75605,                 2.4215,                 1.6041,              0.0012743,              0.0012743,              0.0012743
                      4,                 1.2514,                 1.0057,                 1.3615,                 1.2213,                0.42339,                0.44565,                0.40125,                0.26631,                0.30666,                0.17391,                0.13454,                0.03393,                 1.5078,                0.86178,                 1.9648,                 1.8561,              0.0016883,              0.0016883,              0.0016883
                      5,                 1.2307,                0.95714,                 1.2433,                 1.2146,                0.41254,                0.56485,                0.42396,                0.24965,                0.37026,                    0.5,                0.33548,                0.11527,                 1.3779,                0.72978,                 2.1294,                 1.8524,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.1786,                0.89433,                 1.1629,                 1.1832,                0.45532,                0.33696,                0.33359,                0.19574,                0.25197,                0.15217,                0.11781,                0.02573,                 1.7337,                0.81598,                 2.1617,                 1.8785,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.1616,                0.92518,                 1.1239,                  1.174,                0.63389,                0.51087,                0.53448,                0.33318,                0.60175,                0.47826,                0.41596,                0.12979,                  1.501,                0.70522,                 1.6617,                 1.8056,               0.001901,               0.001901,               0.001901
                      8,                 1.1162,                0.88025,                 1.0736,                 1.1446,                0.52575,                0.70652,                0.64015,                 0.4013,                0.56627,                0.32609,                0.34207,                0.09449,                 1.3146,                0.82853,                 1.6307,                 1.5211,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.0589,                0.83919,                 1.0009,                 1.1189,                0.62118,                0.63043,                0.63946,                 0.4547,                0.35022,                0.36957,                0.24242,                0.05605,                 1.1994,                 1.1919,                 1.5443,                 1.4462,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.0908,                0.82848,                 1.0026,                 1.1336,                 0.5838,                0.69565,                0.63534,                0.42675,                0.72383,                0.58696,                0.61755,                0.23533,                 1.1351,                0.61689,                 1.5254,                 1.3217,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.0616,                0.84129,                0.97862,                 1.1261,                0.75586,                0.73913,                0.77873,                0.54499,                0.64696,                0.70652,                0.69763,                 0.3295,                  1.026,                0.50524,                 1.1019,                  1.216,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.0296,                0.84658,                 0.9576,                 1.0961,                0.65148,                0.67054,                0.67697,                0.46277,                0.62352,                 0.5941,                 0.5852,                0.24451,                 1.2068,                0.59326,                 1.1788,                 1.4793,               0.001802,               0.001802,               0.001802
                     13,                 0.9969,                0.76541,                0.91134,                 1.0798,                0.72717,                0.78261,                0.77482,                0.56135,                 0.6368,                0.65217,                0.56365,                0.23364,                 1.0696,                0.52215,                 1.0913,                 1.2966,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.0109,                0.80188,                0.92267,                 1.1073,                0.83209,                0.80435,                0.83609,                0.60588,                0.63192,                 0.6087,                0.52244,                0.19445,                 1.0344,                0.61622,                 1.0396,                 1.1832,              0.0017624,              0.0017624,              0.0017624
                     15,                0.94842,                0.78522,                0.86453,                 1.0741,                0.85359,                0.69565,                0.78639,                0.56831,                0.74659,                0.60845,                0.64062,                0.31419,                 1.0223,                0.52491,                 1.0302,                 1.2377,              0.0017426,              0.0017426,              0.0017426
