                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7921,                 3.2608,                 3.0792,                  1.592,                 0.0924,                0.10687,                0.02996,                0.01199,                  0.411,                0.05868,                0.05138,                 0.0119,                 2.0733,                 1.9068,                 3.4756,                  2.182,                0.00026,                0.00026,                0.00026
                      2,                 1.2271,                 1.1163,                 1.8383,                 1.1509,                0.38133,                0.28244,                0.21917,                0.13031,                0.10672,                0.07634,                0.03514,                0.01336,                 1.3963,                 1.7909,                 2.8048,                 1.4341,             0.00053465,             0.00053465,             0.00053465
                      3,                 1.1651,                0.99537,                 1.4562,                 1.1278,                0.43997,                0.28244,                0.27148,                0.17532,                0.42824,                0.26874,                 0.2576,                0.08949,                 1.3578,                 1.1677,                 2.4815,                 1.4015,             0.00080376,             0.00080376,             0.00080376
                      4,                 1.1688,                 0.8846,                 1.4542,                 1.1241,                0.36385,                0.37405,                0.28827,                0.17798,                0.30974,                0.33228,                0.25772,                0.08736,                 1.4801,                 1.1122,                  2.382,                 1.4592,              0.0010673,              0.0010673,              0.0010673
                      5,                 1.1299,                0.87546,                 1.2886,                 1.1064,                0.33567,                0.40458,                0.30978,                0.18603,                0.43579,                0.21374,                0.21773,                0.05111,                 1.5194,                 1.3221,                 2.2736,                 1.3807,              0.0013254,              0.0013254,              0.0013254
                      6,                  1.182,                0.88279,                 1.2551,                 1.1229,                 0.3617,                0.30713,                0.28788,                0.20403,                0.41302,                0.32061,                0.29807,                   0.13,                 1.3772,                  1.122,                 2.1356,                 1.3103,              0.0015778,              0.0015778,              0.0015778
                      7,                 1.1216,                 0.8778,                 1.1935,                 1.1227,                0.42102,                0.32824,                0.30008,                0.19472,                0.45737,                0.29008,                0.29123,                0.13818,                 1.5088,                 1.1801,                 2.1881,                 1.4551,              0.0018248,              0.0018248,              0.0018248
                      8,                 1.0558,                0.78875,                 1.1333,                  1.109,                0.51813,                0.31298,                0.30164,                0.19777,                0.50673,                0.28231,                0.29577,                0.13277,                 1.4285,                0.97144,                 2.1979,                 1.3738,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.0504,                0.75922,                 1.1145,                 1.0944,                0.51748,                0.37405,                0.36057,                0.20881,                0.39757,                0.40458,                0.32247,                0.14071,                 1.6982,                 1.0233,                 2.1444,                 1.6246,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.0529,                 0.7771,                 1.1009,                 1.0968,                0.59244,                0.52672,                0.51116,                0.36686,                0.63537,                0.56489,                0.55803,                0.23222,                 1.3602,                0.85785,                 1.6648,                 1.2805,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.0673,                0.78096,                 1.0598,                 1.0987,                0.76894,                0.53435,                0.59894,                0.40824,                0.69135,                0.50382,                0.52393,                0.18798,                 1.3149,                0.95516,                 1.5585,                 1.2917,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.0034,                0.78946,                 1.0057,                 1.0606,                0.72901,                0.59552,                0.62549,                0.41876,                0.68077,                0.54962,                0.57999,                0.24795,                 1.2951,                0.84415,                 1.5104,                 1.3182,               0.001802,               0.001802,               0.001802
                     13,                 1.0172,                0.80839,                0.97248,                 1.0825,                0.69739,                0.64885,                0.66151,                0.44933,                0.70829,                0.66412,                0.67923,                0.33698,                 1.2806,                0.80357,                  1.313,                 1.3006,              0.0017822,              0.0017822,              0.0017822
                     14,                0.90182,                0.70081,                0.88404,                 1.0326,                0.71041,                0.65543,                0.68372,                 0.4909,                0.74267,                0.61832,                0.63135,                0.33113,                 1.1814,                 0.7826,                 1.3077,                 1.2056,              0.0017624,              0.0017624,              0.0017624
                     15,                0.95362,                 0.7476,                0.92478,                 1.0583,                0.83937,                0.63826,                 0.7018,                0.49183,                0.83937,                0.63826,                0.69189,                0.29872,                 1.1997,                0.91142,                 1.3246,                 1.2491,              0.0017426,              0.0017426,              0.0017426
                     16,                0.94832,                0.75431,                0.90773,                  1.048,                 0.8173,                0.66412,                0.69663,                0.49438,                0.79972,                0.63359,                0.65738,                 0.2663,                  1.112,                0.86721,                  1.194,                 1.2271,              0.0017228,              0.0017228,              0.0017228
                     17,                 0.9356,                0.83938,                0.85696,                 1.0262,                0.76888,                0.66412,                0.67736,                0.49523,                0.76342,                 0.6651,                0.67509,                0.38683,                 1.1286,                0.83339,                 1.2256,                 1.2032,               0.001703,               0.001703,               0.001703
                     18,                0.93423,                0.79154,                0.83452,                 1.0331,                0.79897,                 0.6068,                0.67833,                0.49248,                0.75948,                0.57851,                0.64827,                0.33425,                  1.088,                0.81883,                 1.2619,                 1.1851,              0.0016832,              0.0016832,              0.0016832
                     19,                0.90533,                0.73888,                0.83735,                 1.0393,                0.71647,                0.64122,                0.66755,                0.47493,                0.64038,                0.66412,                0.65007,                0.33373,                 1.1454,                0.82854,                  1.315,                 1.2327,              0.0016634,              0.0016634,              0.0016634
                     20,                0.90922,                0.70578,                0.83223,                 1.0287,                0.69644,                0.67939,                0.68512,                0.48937,                0.69337,                0.65594,                 0.6652,                 0.2771,                 1.1194,                0.89166,                 1.2675,                 1.2101,              0.0016436,              0.0016436,              0.0016436
                     21,                0.89867,                0.69543,                0.81142,                 1.0121,                0.70162,                0.64622,                0.67662,                0.47777,                0.69687,                0.64885,                0.66557,                0.26391,                 1.0856,                0.98886,                 1.4173,                 1.1601,              0.0016238,              0.0016238,              0.0016238
                     22,                0.90423,                  0.728,                0.77431,                 1.0147,                0.76313,                0.65649,                0.66834,                0.48522,                0.79962,                0.64885,                 0.6797,                0.29778,                 1.1502,                0.83715,                 1.2304,                  1.244,               0.001604,               0.001604,               0.001604
                     23,                0.88611,                0.72014,                0.77443,                  1.038,                0.78223,                0.60305,                0.66666,                 0.4718,                0.77233,                0.59542,                0.64576,                0.29765,                 1.1094,                0.82138,                 1.3286,                  1.231,              0.0015842,              0.0015842,              0.0015842
                     24,                 0.8903,                0.70801,                0.78463,                 1.0227,                0.82994,                0.69466,                0.72817,                0.52731,                0.80043,                0.67176,                0.72727,                0.38149,                 1.0608,                0.73382,                 1.1211,                 1.1379,              0.0015644,              0.0015644,              0.0015644
                     25,                0.89478,                0.72943,                0.76871,                 1.0317,                 0.7991,                0.71756,                0.72711,                0.54438,                0.74126,                0.70229,                0.71431,                0.40324,                 1.0755,                0.72454,                 1.1116,                 1.1739,              0.0015446,              0.0015446,              0.0015446
                     26,                0.85251,                 0.6965,                0.74606,                 1.0135,                 0.7644,                0.65649,                0.69261,                0.50603,                0.78881,                0.67176,                0.71294,                0.39559,                 1.2152,                0.72023,                 1.1807,                 1.2269,              0.0015248,              0.0015248,              0.0015248
                     27,                0.90486,                0.71663,                0.78042,                 1.0248,                 0.7642,                0.68702,                0.71362,                0.51117,                0.79204,                0.70992,                0.72496,                0.34247,                 1.0992,                 0.7631,                 1.0899,                 1.1506,               0.001505,               0.001505,               0.001505
                     28,                0.85768,                 0.6895,                0.72774,                 1.0137,                0.82209,                0.66412,                0.74478,                0.54026,                0.80469,                0.66412,                0.70837,                0.31256,                 1.0597,                0.88181,                 1.0396,                  1.142,              0.0014852,              0.0014852,              0.0014852
