                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0216,                 3.9987,                 2.9487,                 1.8222,                0.27325,                0.27619,                0.15347,                0.07397,                 0.0393,                 0.0381,                0.00391,                0.00127,                 1.4729,                 1.2908,                 2.9823,                 1.7928,                 0.0003,                 0.0003,                 0.0003
                      2,                 1.4118,                 1.6302,                 1.7198,                 1.3137,                0.63042,                0.24374,                 0.4616,                0.26703,                0.08605,                 0.0381,                0.03978,                0.00989,                 1.1704,                  1.234,                  2.513,                 1.3369,             0.00061386,             0.00061386,             0.00061386
                      3,                  1.341,                 1.3805,                 1.4354,                 1.2711,                0.54552,                0.41905,                0.50252,                0.33215,                0.41435,                0.20952,                0.20727,                0.07897,                 1.1493,                0.86894,                 2.1769,                 1.3503,             0.00092139,             0.00092139,             0.00092139
                      4,                 1.2899,                 1.1812,                 1.3856,                 1.2688,                0.47803,                0.39252,                0.39888,                0.23843,                0.41138,                0.27294,                0.20661,                0.05811,                 1.2304,                0.92956,                 1.9912,                 1.4397,              0.0012226,              0.0012226,              0.0012226
                      5,                 1.3043,                 1.2085,                 1.3176,                 1.2489,                0.52285,                0.61905,                0.59634,                0.41085,                0.33723,                0.31985,                0.21602,                 0.0603,                 1.1888,                0.85302,                 1.6985,                  1.416,              0.0015174,              0.0015174,              0.0015174
                      6,                 1.3002,                 1.1623,                  1.304,                 1.2601,                0.49842,                0.55238,                0.53009,                0.34061,                0.38479,                0.24426,                 0.1546,                0.03629,                 1.3081,                 1.0799,                 1.9013,                 1.5871,               0.001806,               0.001806,               0.001806
                      7,                 1.3108,                 1.1712,                 1.2317,                 1.2537,                0.72944,                0.64194,                0.71156,                 0.4701,                0.49299,                0.42857,                0.34128,                0.12167,                 1.1425,                0.75877,                 1.6061,                 1.3476,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.2694,                 1.1696,                 1.1869,                 1.2319,                0.57423,                0.58095,                0.57501,                0.39886,                0.43895,                0.42857,                0.34551,                 0.1099,                 1.1405,                0.70694,                 2.2161,                 1.3917,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.2462,                 1.0831,                 1.1552,                 1.2218,                0.86597,                0.55383,                0.69659,                0.51321,                0.54706,                0.34286,                0.28844,                0.09624,                 1.0543,                0.77458,                  1.739,                 1.2633,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.1671,                 1.0723,                 1.0803,                 1.2087,                0.80578,                0.68571,                0.78612,                0.55298,                0.51273,                0.31429,                0.22066,                0.06602,                 1.0472,                0.77387,                   1.16,                 1.2792,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.1508,                 1.0244,                 1.0541,                 1.1784,                0.89929,                0.68037,                0.82063,                0.59526,                0.72261,                 0.7619,                0.74289,                0.34034,                0.99849,                0.58197,                 1.1556,                 1.3162,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.0984,                  1.006,                 1.0151,                 1.1744,                0.80849,                0.72372,                0.80294,                0.59958,                0.73596,                0.66667,                0.64613,                0.31958,                0.93736,                0.50383,                 1.0466,                 1.1615,               0.001802,               0.001802,               0.001802
                     13,                 1.1387,                 1.0421,                 1.0256,                 1.1773,                0.84605,                0.68044,                0.80697,                0.61125,                0.83273,                0.64762,                0.67718,                0.28438,                 0.9447,                0.57574,                0.96901,                 1.1309,              0.0017822,              0.0017822,              0.0017822
                     14,                  1.051,                0.89067,                0.97087,                 1.1346,                0.87807,                0.68585,                0.81995,                0.62784,                0.80347,                0.62857,                0.71087,                0.36786,                0.84315,                0.48443,                 0.9416,                 1.0519,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.0546,                0.96345,                0.93455,                 1.1377,                0.88002,                0.71429,                0.82348,                0.63038,                0.76375,                0.61905,                0.61916,                0.28632,                0.82588,                 0.5276,                 1.0006,                 1.0778,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.0782,                 1.0002,                0.96174,                  1.134,                0.91441,                0.72381,                0.82481,                 0.6286,                0.76747,                    0.6,                0.63615,                 0.3161,                0.89664,                0.54598,                 0.9042,                   1.14,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.0598,                0.90575,                0.93271,                 1.1444,                0.89843,                0.67398,                0.80552,                0.63721,                0.77107,                0.60952,                0.69054,                0.31855,                0.89729,                0.60389,                0.90083,                 1.1339,               0.001703,               0.001703,               0.001703
                     18,                 1.1049,                0.92206,                0.94859,                 1.1487,                0.75984,                 0.7619,                0.81787,                0.63008,                0.82676,                0.49524,                0.55716,                0.20635,                 0.9212,                0.73494,                0.84856,                 1.1775,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.0014,                0.89445,                0.87394,                 1.1135,                0.81655,                0.72381,                 0.7915,                 0.6414,                0.82564,                    0.6,                0.64052,                0.29106,                0.92079,                0.52323,                0.95004,                 1.1656,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.0182,                 0.8678,                0.87937,                 1.1121,                0.85412,                0.77143,                0.82115,                0.64834,                0.79757,                0.71429,                0.72801,                0.41899,                0.84053,                0.42617,                0.81814,                 1.0853,              0.0016436,              0.0016436,              0.0016436
                     21,                  1.017,                0.89058,                0.87669,                 1.1314,                0.83837,                0.79042,                0.85455,                0.66821,                0.79047,                0.64762,                0.65732,                0.32999,                0.81457,                0.49712,                0.79142,                 1.0923,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.0204,                0.90961,                0.84747,                 1.1274,                0.84759,                0.77143,                0.86077,                  0.674,                0.80086,                0.72772,                 0.8033,                0.39027,                  0.854,                0.48844,                0.82974,                 1.1083,               0.001604,               0.001604,               0.001604
                     23,                0.95811,                0.84912,                0.82775,                 1.1022,                0.87168,                0.77638,                0.85845,                0.67531,                0.78077,                0.67619,                0.70646,                0.35054,                0.82792,                0.45642,                0.79212,                 1.0891,              0.0015842,              0.0015842,              0.0015842
                     24,                 0.9748,                0.84477,                 0.8191,                 1.0928,                0.82435,                0.77143,                0.83172,                0.65298,                0.86155,                0.67619,                0.78175,                0.40458,                0.83113,                0.44026,                0.76363,                 1.0813,              0.0015644,              0.0015644,              0.0015644
                     25,                0.93274,                 0.7808,                0.79963,                 1.0787,                0.87143,                0.78095,                0.87213,                0.69506,                0.81856,                0.73046,                0.78817,                0.43487,                0.81327,                0.39709,                0.76012,                 1.0743,              0.0015446,              0.0015446,              0.0015446
                     26,                0.99535,                0.87782,                0.84814,                 1.1085,                  0.835,                 0.7619,                0.86236,                0.66938,                0.73142,                0.66667,                 0.6698,                 0.2895,                0.80694,                0.53781,                0.75734,                 1.0847,              0.0015248,              0.0015248,              0.0015248
                     27,                0.95908,                0.84939,                0.84741,                  1.105,                0.80419,                0.79048,                0.83874,                 0.6679,                0.82523,                0.66667,                0.73831,                0.34618,                0.78554,                0.43989,                0.75804,                 1.0331,               0.001505,               0.001505,               0.001505
                     28,                0.95766,                0.78905,                0.80259,                 1.0943,                0.89255,                0.79112,                 0.8781,                0.70502,                0.84653,                0.75238,                0.78917,                0.47668,                0.77496,                0.36627,                0.71879,                 1.0453,              0.0014852,              0.0014852,              0.0014852
                     29,                0.93501,                0.82956,                0.78173,                 1.0803,                0.82587,                0.81308,                0.86624,                0.69394,                0.75428,                0.65714,                0.68917,                0.36893,                0.73997,                0.43122,                0.73335,                 1.0264,              0.0014654,              0.0014654,              0.0014654
                     30,                0.92254,                0.82569,                0.77936,                  1.095,                0.88992,                0.76992,                0.86863,                0.71628,                0.80204,                0.67619,                0.73247,                0.34812,                0.69903,                0.52785,                0.72206,                0.99754,              0.0014456,              0.0014456,              0.0014456
                     31,                0.87515,                0.77693,                0.76538,                 1.0741,                0.87293,                0.84762,                0.87314,                0.68991,                0.88262,                0.70476,                0.78733,                0.40706,                0.74436,                 0.4691,                0.68546,                 1.0547,              0.0014258,              0.0014258,              0.0014258
                     32,                0.85952,                0.76537,                0.71731,                 1.0573,                0.90933,                0.75238,                0.85241,                0.71145,                0.84993,                0.77143,                0.83121,                0.46515,                0.71662,                0.40704,                0.65448,                  1.008,               0.001406,               0.001406,               0.001406
                     33,                0.91689,                0.86604,                0.75851,                 1.0783,                0.84472,                0.88078,                0.91504,                0.75734,                 0.8665,                0.80362,                0.84404,                0.46341,                0.69716,                0.37727,                0.64642,                0.99641,              0.0013862,              0.0013862,              0.0013862
                     34,                 0.8832,                0.80573,                 0.7385,                 1.0535,                0.83815,                0.82857,                 0.8609,                0.69195,                0.81772,                0.80952,                0.82015,                0.43311,                0.74668,                0.42741,                0.67998,                  1.031,              0.0013664,              0.0013664,              0.0013664
