                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5573,                 2.3389,                 2.0554,                 1.4647,                0.50316,                0.45714,                0.42933,                0.26901,                0.36773,                0.26032,                0.18628,                0.05611,                 1.1501,                0.77652,                 2.2832,                 1.3756,             0.00065248,             0.00065248,             0.00065248
                      2,                  1.295,                 1.2242,                 1.3435,                 1.2448,                0.60664,                0.61587,                0.61449,                0.41366,                0.28456,                0.28889,                0.14598,                0.05186,                 1.0701,                0.74046,                 1.8553,                 1.3082,              0.0013061,              0.0013061,              0.0013061
                      3,                 1.2192,                  1.115,                 1.1907,                 1.2107,                0.70823,                0.66349,                0.74074,                0.54973,                0.70797,                0.47937,                0.55989,                0.22704,                 1.0239,                0.63341,                 1.4062,                 1.2241,              0.0019465,              0.0019465,              0.0019465
                      4,                 1.2294,                 1.1014,                 1.1021,                 1.2122,                0.67627,                0.69524,                0.73965,                0.56409,                0.67613,                0.51746,                0.54303,                0.24389,                0.99219,                0.56985,                  1.448,                 1.1825,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.1399,                 1.0154,                 1.0217,                 1.1692,                0.76672,                 0.7095,                0.75796,                0.56816,                0.65364,                 0.5873,                0.51973,                0.23051,                 0.9728,                0.55574,                 1.2193,                 1.1905,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.1226,                0.99215,                0.98785,                 1.1695,                 0.8519,                0.71217,                0.80452,                0.62181,                0.85435,                0.66667,                0.74871,                0.36346,                0.90791,                0.47458,                0.99634,                 1.1189,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.0614,                0.95714,                0.93661,                 1.1516,                0.71679,                0.59365,                0.70162,                0.53379,                0.72353,                0.58156,                 0.6179,                0.25257,                0.98144,                0.61965,                  1.287,                 1.2095,               0.001901,               0.001901,               0.001901
                      8,                 1.0305,                0.92446,                0.87753,                 1.1224,                0.79643,                 0.7746,                0.82285,                0.64584,                0.74462,                0.67569,                0.69915,                0.34816,                0.83172,                0.45918,                0.85174,                 1.0692,              0.0018812,              0.0018812,              0.0018812
                      9,                0.97862,                0.88755,                0.83063,                 1.1049,                0.84762,                0.75556,                0.83744,                0.65741,                0.77354,                0.71746,                0.74315,                0.37566,                0.77016,                0.43396,                0.77778,                 1.0394,              0.0018614,              0.0018614,              0.0018614
                     10,                0.96769,                0.86998,                0.80371,                 1.0937,                 0.8211,                0.81597,                0.85888,                0.69546,                0.78105,                0.71343,                0.76233,                0.39165,                0.78351,                0.45103,                0.72854,                 1.0409,              0.0018416,              0.0018416,              0.0018416
                     11,                0.91569,                0.82119,                0.78073,                 1.0857,                0.84353,                0.82148,                0.85796,                0.69739,                0.86172,                0.72698,                0.77547,                0.37403,                0.72036,                0.43278,                0.75395,                 1.0166,              0.0018218,              0.0018218,              0.0018218
                     12,                0.90859,                0.82033,                0.74867,                 1.0707,                 0.8598,                0.81768,                0.86296,                0.69639,                   0.83,                0.79049,                0.80025,                0.43474,                0.73481,                0.39233,                0.65854,                0.99871,               0.001802,               0.001802,               0.001802
                     13,                0.89471,                0.86753,                0.74128,                 1.0678,                0.87092,                0.77108,                0.83748,                0.68281,                0.79645,                0.73016,                0.75842,                0.38971,                0.73314,                0.45491,                0.70261,                 1.0168,              0.0017822,              0.0017822,              0.0017822
